V1,V2,Vout
0.584,0.75,0.0177912142
0.585,0.75,0.0178078296
0.586,0.75,0.0178248877
0.587,0.75,0.0178423963
0.588,0.75,0.0178603706
0.589,0.75,0.0178788147
0.59,0.75,0.017897751
0.591,0.75,0.0179171838
0.592,0.75,0.0179371315
0.593,0.75,0.017957601
0.594,0.75,0.0179786158
0.595,0.75,0.0180001795
0.596,0.75,0.0180223133
0.597,0.75,0.0180450318
0.598,0.75,0.0180683406
0.599,0.75,0.0180922695
0.6,0.75,0.018116824
0.601,0.75,0.0181420238
0.602,0.75,0.0181678849
0.603,0.75,0.0181944234
0.604,0.75,0.0182216551
0.605,0.75,0.0182496095
0.606,0.75,0.0182782896
0.607,0.75,0.0183077222
0.608,0.75,0.0183379228
0.609,0.75,0.018368915
0.61,0.75,0.0184007196
0.611,0.75,0.0184333462
0.612,0.75,0.0184668354
0.613,0.75,0.0185011958
0.614,0.75,0.0185364465
0.615,0.75,0.0185726235
0.616,0.75,0.01860974
0.617,0.75,0.0186478216
0.618,0.75,0.0186868983
0.619,0.75,0.0187269883
0.62,0.75,0.0187681251
0.621,0.75,0.0188103293
0.622,0.75,0.0188536282
0.623,0.75,0.018898054
0.624,0.75,0.018943634
0.625,0.75,0.0189903946
0.626,0.75,0.0190383717
0.627,0.75,0.0190875886
0.628,0.75,0.0191380834
0.629,0.75,0.0191898822
0.63,0.75,0.0192430309
0.631,0.75,0.019297554
0.632,0.75,0.0193534856
0.633,0.75,0.0194108648
0.634,0.75,0.0194697279
0.635,0.75,0.0195301151
0.636,0.75,0.0195920626
0.637,0.75,0.0196556131
0.638,0.75,0.0197208057
0.639,0.75,0.0197876854
0.64,0.75,0.0198562882
0.641,0.75,0.0199266622
0.642,0.75,0.0199988598
0.643,0.75,0.0200729184
0.644,0.75,0.0201488935
0.645,0.75,0.0202268267
0.646,0.75,0.0203067784
0.647,0.75,0.0203887927
0.648,0.75,0.0204729264
0.649,0.75,0.0205592336
0.65,0.75,0.0206477722
0.651,0.75,0.0207386038
0.652,0.75,0.0208317815
0.653,0.75,0.0209273718
0.654,0.75,0.0210254341
0.655,0.75,0.0211260386
0.656,0.75,0.0212292468
0.657,0.75,0.0213351363
0.658,0.75,0.0214437717
0.659,0.75,0.0215552295
0.66,0.75,0.0216695805
0.661,0.75,0.0217869086
0.662,0.75,0.0219072895
0.663,0.75,0.0220308101
0.664,0.75,0.0221575546
0.665,0.75,0.0222876137
0.666,0.75,0.0224210772
0.667,0.75,0.022558032
0.668,0.75,0.0226985865
0.669,0.75,0.022842834
0.67,0.75,0.0229908822
0.671,0.75,0.0231428401
0.672,0.75,0.0232988193
0.673,0.75,0.0234589264
0.674,0.75,0.0236232912
0.675,0.75,0.0237920357
0.676,0.75,0.023965285
0.677,0.75,0.0241431784
0.678,0.75,0.0243258501
0.679,0.75,0.024513445
0.68,0.75,0.0247061141
0.681,0.75,0.0249040106
0.682,0.75,0.0251073024
0.683,0.75,0.0253161539
0.684,0.75,0.0255307417
0.685,0.75,0.0257512549
0.686,0.75,0.0259778829
0.687,0.75,0.0262108219
0.688,0.75,0.0264502902
0.689,0.75,0.0266965088
0.69,0.75,0.0269496969
0.691,0.75,0.0272101114
0.692,0.75,0.0274779951
0.693,0.75,0.0277536199
0.694,0.75,0.0280372738
0.695,0.75,0.0283292483
0.696,0.75,0.0286298571
0.697,0.75,0.0289394311
0.698,0.75,0.0292583198
0.699,0.75,0.0295868922
0.7,0.75,0.0299255428
0.701,0.75,0.0302746895
0.702,0.75,0.0306347847
0.703,0.75,0.031006284
0.704,0.75,0.031389699
0.705,0.75,0.0317855756
0.706,0.75,0.0321944792
0.707,0.75,0.0326170405
0.708,0.75,0.0330539245
0.709,0.75,0.0335058349
0.71,0.75,0.0339735582
0.711,0.75,0.034457923
0.712,0.75,0.0349598385
0.713,0.75,0.0354802826
0.714,0.75,0.0360203358
0.715,0.75,0.0365811659
0.716,0.75,0.0371640496
0.717,0.75,0.0377703934
0.718,0.75,0.038401742
0.719,0.75,0.0390598247
0.72,0.75,0.0397465133
0.721,0.75,0.0404639457
0.722,0.75,0.0412144555
0.723,0.75,0.0420006873
0.724,0.75,0.0428256352
0.725,0.75,0.0436926516
0.726,0.75,0.0446055518
0.727,0.75,0.0455687116
0.728,0.75,0.0465871849
0.729,0.75,0.0476667496
0.73,0.75,0.0488141694
0.731,0.75,0.0500373549
0.732,0.75,0.0513456557
0.733,0.75,0.0527501918
0.734,0.75,0.0542643444
0.735,0.75,0.0559043264
0.736,0.75,0.0576900193
0.737,0.75,0.0596461847
0.738,0.75,0.0618038625
0.739,0.75,0.064202831
0.74,0.75,0.066894859
0.741,0.75,0.0699485464
0.742,0.75,0.0734572629
0.743,0.75,0.077551335
0.744,0.75,0.082419622
0.745,0.75,0.0883483682
0.746,0.75,0.0958014074
0.747,0.75,0.105611273
0.748,0.75,0.119863753
0.749,0.75,0.145731135
0.75,0.75,0.549076463
0.751,0.75,1.56915333
0.752,0.75,1.6209791
0.753,0.75,1.64382038
0.754,0.75,1.66019041
0.755,0.75,1.67216745
0.756,0.75,1.681534
0.757,0.75,1.68909218
0.758,0.75,1.69531279
0.759,0.75,1.70053772
0.76,0.75,1.70500725
0.761,0.75,1.70889107
0.762,0.75,1.71231182
0.763,0.75,1.71535999
0.764,0.75,1.71810346
0.765,0.75,1.72059431
0.766,0.75,1.7228729
0.767,0.75,1.72497111
0.768,0.75,1.72691436
0.769,0.75,1.72872334
0.77,0.75,1.73041486
0.771,0.75,1.73200287
0.772,0.75,1.73349899
0.773,0.75,1.73491304
0.774,0.75,1.73625332
0.775,0.75,1.73752698
0.776,0.75,1.73874006
0.777,0.75,1.73989793
0.778,0.75,1.74100518
0.779,0.75,1.74206584
0.78,0.75,1.7430835
0.781,0.75,1.74406125
0.782,0.75,1.74500195
0.783,0.75,1.74590807
0.784,0.75,1.74678187
0.785,0.75,1.74762533
0.786,0.75,1.74844025
0.787,0.75,1.74922833
0.788,0.75,1.74999103
0.789,0.75,1.75072969
0.79,0.75,1.75144559
0.791,0.75,1.75213985
0.792,0.75,1.75281352
0.793,0.75,1.75346757
0.794,0.75,1.75410286
0.795,0.75,1.75472025
0.796,0.75,1.75532049
0.797,0.75,1.75590429
0.798,0.75,1.75647228
0.799,0.75,1.75702514
0.8,0.75,1.7575634
0.801,0.75,1.75808761
0.802,0.75,1.7585983
0.803,0.75,1.75909591
0.804,0.75,1.75958091
0.805,0.75,1.76005373
0.806,0.75,1.76051476
0.807,0.75,1.7609644
0.808,0.75,1.76140299
0.809,0.75,1.76183087
0.81,0.75,1.76224838
0.811,0.75,1.76265581
0.812,0.75,1.76305347
0.813,0.75,1.76344164
0.814,0.75,1.76382059
0.815,0.75,1.76419058
0.816,0.75,1.76455184
0.817,0.75,1.76490462
0.818,0.75,1.76524914
0.819,0.75,1.76558564
0.82,0.75,1.7659143
0.821,0.75,1.76623534
0.822,0.75,1.76654895
0.823,0.75,1.76685531
0.824,0.75,1.76715462
0.825,0.75,1.76744704
0.826,0.75,1.76773275
0.827,0.75,1.76801191
0.828,0.75,1.76828466
0.829,0.75,1.76855119
0.83,0.75,1.76881163
0.831,0.75,1.76906612
0.832,0.75,1.76931481
0.833,0.75,1.76955783
0.834,0.75,1.76979531
0.835,0.75,1.77002739
0.836,0.75,1.7702542
0.837,0.75,1.77047584
0.838,0.75,1.77069244
0.839,0.75,1.77090412
0.84,0.75,1.77111099
0.841,0.75,1.77131317
0.842,0.75,1.77151075
0.843,0.75,1.77170384
0.844,0.75,1.77189254
0.845,0.75,1.77207696
0.846,0.75,1.77225719
0.847,0.75,1.77243333
0.848,0.75,1.77260546
0.849,0.75,1.77277368
0.85,0.75,1.77293808
0.851,0.75,1.77309875
0.852,0.75,1.77325576
0.853,0.75,1.7734092
0.854,0.75,1.77355917
0.855,0.75,1.77370571
0.856,0.75,1.77384893
0.857,0.75,1.77398888
0.858,0.75,1.77412567
0.859,0.75,1.77425933
0.86,0.75,1.77438995
0.861,0.75,1.77451762
0.862,0.75,1.77464236
0.863,0.75,1.77476427
0.864,0.75,1.77488342
0.865,0.75,1.77499986
0.866,0.75,1.77511365
0.867,0.75,1.77522484
0.868,0.75,1.77533352
0.869,0.75,1.77543973
0.87,0.75,1.77554352
0.871,0.75,1.77564496
0.872,0.75,1.77574408
0.873,0.75,1.77584097
0.874,0.75,1.77593565
0.875,0.75,1.7760282
0.876,0.75,1.77611864
0.877,0.75,1.77620703
0.878,0.75,1.77629343
0.879,0.75,1.77637787
0.88,0.75,1.77646041
0.881,0.75,1.77654108
0.882,0.75,1.77661992
0.883,0.75,1.776697
0.884,0.75,1.77677234
0.885,0.75,1.77684599
0.886,0.75,1.77691798
0.887,0.75,1.77698836
0.888,0.75,1.77705716
0.889,0.75,1.77712442
0.89,0.75,1.77719018
0.891,0.75,1.77725446
0.892,0.75,1.77731732
0.893,0.75,1.77737879
0.894,0.75,1.77743889
0.895,0.75,1.77749765
0.896,0.75,1.77755512
0.897,0.75,1.77761131
0.898,0.75,1.77766627
0.899,0.75,1.77772002
0.9,0.75,1.7777726
0.901,0.75,1.77782402
0.902,0.75,1.77787432
0.903,0.75,1.77792353
0.904,0.75,1.77797166
0.905,0.75,1.77801875
0.906,0.75,1.77806483
0.907,0.75,1.77810992
0.908,0.75,1.77815403
0.909,0.75,1.77819721
0.91,0.75,1.77823947
0.911,0.75,1.77828082
0.912,0.75,1.7783213
0.913,0.75,1.77836092
0.914,0.75,1.77839971
0.915,0.75,1.77843768
